,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
60,Don Sak,20,TH,1566774788,78,9.32,99.69,80.6,11.72
61,China,77,MX,1566774790,33,25.71,-99.24,99.08,3.22
62,Carballo,0,ES,1566774791,88,43.21,-8.69,70.0,1.12
63,Airai,19,TL,1566774792,43,-8.93,125.41,77.48,1.59
64,Saquarema,75,BR,1566774794,73,-22.93,-42.51,69.8,6.93
65,Namibe,51,AO,1566774795,81,-15.19,12.15,67.04,0.27
66,Hukeri,100,IN,1566774796,94,16.23,74.6,68.66,5.55
67,Taoudenni,69,ML,1566774798,30,22.68,-3.98,96.02,11.95
68,Saint George,20,GR,1566774799,60,39.45,22.34,75.2,1.95
69,Takayama,20,JP,1566774800,78,36.14,137.25,84.0,3.36
70,Dehui,75,CN,1566774802,88,44.53,125.71,66.2,6.71
71,Bethel,90,US,1566774737,76,60.79,-161.76,53.6,8.05
72,Garissa,11,KE,1566774804,76,-0.46,39.64,74.24,17.31
73,Ahipara,34,NZ,1566774805,100,-35.17,173.16,68.0,27.04
74,Alice Springs,0,AU,1566774807,39,-23.7,133.88,50.0,5.82
75,Fokino,26,RU,1566774808,95,53.45,34.42,53.18,3.18
76,Cidreira,21,BR,1566774809,79,-30.17,-50.22,61.1,22.66
77,Marienburg,0,DE,1566774811,69,52.12,9.98,77.0,5.82
78,San Patricio,60,PY,1566774812,62,-26.98,-56.83,69.02,5.37
79,Soyo,96,AO,1566774813,87,-6.13,12.37,72.08,6.8
80,Yumen,97,CN,1566774814,31,40.29,97.04,68.48,17.22
81,Puqi,65,CN,1566774816,79,29.72,113.88,83.24,12.75
82,Kungurtug,56,RU,1566774817,71,50.6,97.53,41.3,1.81
83,Tuatapere,95,NZ,1566774818,81,-46.13,167.69,46.99,13.0
84,Tuktoyaktuk,90,CA,1566774820,87,69.44,-133.03,46.4,10.29
85,Morant Bay,20,JM,1566774821,66,17.88,-76.41,86.0,20.8
86,Nehe,95,CN,1566774822,90,48.48,124.88,65.24,7.54
87,East London,1,ZA,1566774544,85,-33.02,27.91,54.44,5.82
88,Jumla,100,NP,1566774825,93,29.28,82.18,52.46,1.99
89,Sunland Park,1,US,1566774827,14,31.8,-106.58,102.2,5.82
90,Kavieng,54,PG,1566774828,74,-2.57,150.8,83.96,12.17
91,Sao Miguel do Araguaia,62,BR,1566774829,34,-13.28,-50.16,79.82,2.77
92,Bluff,0,AU,1566774830,52,-23.58,149.07,70.1,1.88
93,Pont-Audemer,0,FR,1566774832,100,49.35,0.52,70.0,2.24
94,Kapaa,40,US,1566774601,55,22.08,-159.32,89.6,17.22
95,Talcahuano,90,CL,1566774835,93,-36.72,-73.12,53.6,8.05
96,Port Elizabeth,1,US,1566774836,56,39.31,-74.98,73.4,13.87
97,Ponta Delgada,75,PT,1566774682,94,37.73,-25.67,71.01,8.05
98,New Norfolk,20,AU,1566774839,75,-42.78,147.06,53.01,9.17
99,Barrow,100,AR,1566774840,73,-38.31,-60.23,55.52,7.45
100,Kendari,69,ID,1566774841,66,-3.99,122.52,75.68,2.64
101,Norfolk,40,US,1566774576,73,36.85,-76.29,75.2,17.22
102,Kananga,42,CD,1566774844,72,-5.9,22.41,71.18,4.81
103,Porto Novo,40,BR,1566774846,77,-23.68,-45.44,59.0,14.99
104,Kloulklubed,90,PW,1566774848,83,7.04,134.26,80.6,10.29
105,Torbay,20,CA,1566774688,67,47.66,-52.73,57.99,6.93
106,Padang,96,ID,1566774850,81,-0.92,100.36,80.0,13.65
107,Kaitangata,97,NZ,1566774852,80,-46.28,169.85,46.99,8.99
108,Santa Cruz,18,BR,1566774821,82,-6.22,-36.02,69.2,16.75
109,Ankazoabo,0,MG,1566774855,63,-22.29,44.51,59.3,1.03
110,Antalaha,32,MG,1566774856,96,-14.9,50.28,60.74,4.52
111,Manggar,100,ID,1566774857,87,-2.88,108.27,77.66,4.41
112,Zabol,0,IR,1566774859,20,31.03,61.49,72.8,7.02
113,Osypenko,0,UA,1566774861,48,48.04,34.39,70.0,11.18
114,Pando,0,UY,1566774862,72,-34.72,-55.96,61.0,6.93
115,Puerto Ayora,0,EC,1566774863,61,-0.74,-90.35,78.8,20.8
116,Vila Franca do Campo,75,PT,1566774865,94,37.72,-25.43,71.01,8.05
117,Lorengau,100,PG,1566774866,94,-2.02,147.27,75.86,5.37
118,Goure,20,NE,1566774867,64,13.98,10.27,78.2,10.4
119,Ha Giang,91,VN,1566774869,91,22.83,104.99,68.12,3.67
120,Khatanga,96,RU,1566774870,66,71.98,102.47,57.86,7.52
121,Ketchikan,75,US,1566774718,77,55.34,-131.65,60.8,12.75
122,Half Moon Bay,1,US,1566774873,54,37.46,-122.43,86.0,10.29
123,Navahrudak,0,BY,1566774874,92,53.59,25.82,59.66,7.27
124,Severo-Kurilsk,100,RU,1566774876,96,50.68,156.12,48.32,21.56
125,Rome,0,IT,1566774855,78,41.89,12.48,75.2,2.24
126,Umm Lajj,61,SA,1566774878,67,25.02,37.27,88.1,14.27
127,Samarai,100,PG,1566774880,94,-10.62,150.67,73.16,6.38
128,Mandera,35,ET,1566774881,60,3.94,41.86,76.94,17.18
129,Huarmey,4,PE,1566774883,89,-10.07,-78.15,59.3,11.88
130,Pundaguitan,100,PH,1566774885,75,6.37,126.17,82.34,8.66
131,Ilulissat,38,GL,1566774886,52,69.22,-51.1,42.8,6.93
132,San Rafael,55,AR,1566774887,41,-34.61,-68.33,56.24,4.16
133,Mar del Plata,49,AR,1566774888,59,-46.43,-67.52,44.18,17.54
134,Ambulu,79,ID,1566774890,88,-8.35,113.61,72.44,4.63
135,Dale,100,CN,1566774891,90,24.09,109.99,78.74,2.51
136,Lumphat,100,KH,1566774892,98,13.5,106.97,75.32,3.85
137,Nikolskoye,0,RU,1566774893,76,59.7,30.79,60.01,4.47
138,Hefei,20,CN,1566774895,94,31.82,117.22,78.8,6.71
139,Dingle,61,PH,1566774896,80,11.0,122.67,79.46,2.26
140,Sompeta,100,IN,1566774898,84,18.93,84.6,77.66,2.82
141,Barahona,75,DO,1566774899,84,18.21,-71.1,86.0,9.17
142,Keti Bandar,84,PK,1566774900,79,24.14,67.45,80.54,11.23
143,Brownwood,1,US,1566774902,29,31.71,-98.99,100.4,10.29
144,Itarema,0,BR,1566774904,75,-2.92,-39.92,76.22,11.03
145,Aklavik,75,CA,1566774905,41,68.22,-135.01,57.2,2.24
146,Vanimo,89,PG,1566774907,71,-2.67,141.3,82.34,4.23
147,Nuuk,20,GL,1566774908,75,64.17,-51.74,46.4,6.93
148,Mahajanga,0,MG,1566774909,60,-15.72,46.32,71.6,4.7
149,Wageningen,0,NL,1566774911,72,51.98,5.66,72.0,2.24
150,Lagos,20,NG,1566774913,88,6.46,3.39,77.0,3.36
151,Bundaberg,0,AU,1566774914,77,-24.87,152.35,64.4,8.05
152,Waipawa,12,NZ,1566774915,64,-39.94,176.59,55.99,27.0
153,Nanortalik,0,GL,1566774916,78,60.14,-45.24,42.38,3.22
154,Muros,0,ES,1566774918,88,42.77,-9.06,71.6,3.36
155,Gelemso,76,ET,1566774919,72,8.81,40.52,65.42,10.31
156,Chuy,100,UY,1566774922,88,-33.69,-53.46,55.34,15.3
157,Hilo,75,US,1566774753,66,19.71,-155.08,84.2,11.41
158,Zhangjiakou,89,CN,1566774925,74,40.77,114.88,61.82,9.69
159,Eyl,19,SO,1566774926,60,7.98,49.82,76.94,29.12
160,Bako,24,BF,1566774928,89,12.29,-0.73,73.34,7.34
161,Hermanus,92,ZA,1566774930,99,-34.42,19.24,54.0,3.0
162,Bocaiuva,16,BR,1566774931,63,-17.12,-43.81,67.76,12.35
163,Palmer,75,AU,1566774870,81,-34.85,139.16,59.0,5.82
164,Le Mars,90,US,1566774934,88,42.79,-96.17,70.0,9.17
165,Bredasdorp,81,ZA,1566774936,82,-34.53,20.04,55.4,8.05
166,Westport,90,US,1566774937,56,41.14,-73.36,72.0,16.11
167,Kinablangan,98,PH,1566774938,70,7.69,126.55,80.18,0.94
168,Lavrentiya,40,RU,1566774940,50,65.58,-170.99,61.82,7.27
169,Kaka,0,TM,1566774941,18,37.35,59.62,67.58,4.03
170,Felipe Carrillo Puerto,100,MX,1566774942,55,19.58,-88.05,87.92,7.27
171,Beloha,0,MG,1566774944,72,-25.17,45.06,63.26,5.17
172,El Tigre,36,VE,1566774945,80,8.89,-64.25,77.84,9.06
173,Esperance,0,AU,1566774947,87,-33.86,121.89,42.8,6.93
174,Zhigansk,0,RU,1566774949,53,66.77,123.37,62.18,3.2
175,Comodoro Rivadavia,0,AR,1566774950,70,-45.87,-67.48,46.4,4.7
176,Sarrebourg,0,FR,1566774952,72,48.73,7.05,73.4,2.24
177,Havre-Saint-Pierre,20,CA,1566774953,72,50.23,-63.6,60.8,14.99
178,Saint-Augustin,20,CA,1566774954,44,45.63,-73.98,75.2,3.36
179,Saint-Pierre,0,FR,1566774957,60,48.95,4.24,68.0,5.82
180,Bonavista,58,CA,1566774958,71,48.65,-53.11,57.0,11.01
181,Biak,94,ID,1566774959,80,-0.91,122.88,66.32,4.56
182,Erzin,0,TR,1566774961,65,36.95,36.2,81.0,3.36
183,Luderitz,0,NA,1566774962,93,-26.65,15.16,53.6,16.11
184,Bhuban,99,IN,1566774964,95,20.88,85.83,76.4,0.94
185,Salalah,90,OM,1566774966,94,17.01,54.1,78.8,5.82
186,Richards Bay,0,ZA,1566774967,70,-28.77,32.06,71.54,14.92
187,Narasannapeta,100,IN,1566774968,89,18.42,84.04,78.74,2.06
188,Brasilia,40,BR,1566774970,69,-10.9,-37.55,78.8,11.41
189,Camacha,75,PT,1566774971,78,33.08,-16.33,73.4,13.87
190,Guerrero Negro,84,MX,1566774972,80,27.97,-114.04,75.32,8.03
191,Bembereke,79,BJ,1566774974,95,10.23,2.66,71.36,5.17
192,Aleksandrov Gay,40,RU,1566774975,68,50.14,48.57,60.38,12.84
193,Tivaouane,20,SN,1566774976,78,14.95,-16.81,80.6,8.05
194,Sur,13,OM,1566774978,54,22.57,59.53,82.52,1.52
195,Ahmadpur East,49,PK,1566774979,31,29.14,71.26,91.34,9.73
196,Hami,100,CN,1566774980,18,42.84,93.51,75.14,12.41
197,Kiunga,83,PG,1566774981,81,-6.12,141.3,74.6,3.47
198,Norman Wells,75,CA,1566774983,34,65.28,-126.83,64.4,3.36
199,Oranjemund,0,ZA,1566774984,91,-28.55,16.43,57.14,13.98
200,Monywa,31,MM,1566774985,87,22.12,95.13,78.92,5.28
201,Mushie,94,CD,1566774987,87,-3.02,16.92,71.9,1.48
202,Napier,1,NZ,1566774988,53,-39.49,176.92,63.0,11.01
203,Georgetown,40,GY,1566774797,78,6.8,-58.16,82.4,4.7
204,Guaruja,75,BR,1566774990,87,-23.99,-46.26,59.0,9.17
205,Tete,0,MZ,1566774992,82,-16.16,33.59,68.0,3.58
206,Bosaso,0,SO,1566774993,60,11.28,49.18,88.64,14.0
207,Zambrow,52,PL,1566774995,83,52.99,22.24,62.01,6.24
208,Tiksi,77,RU,1566774996,85,71.64,128.87,48.86,3.29
209,Shingu,0,JP,1566774997,78,33.72,135.99,75.2,4.7
210,Magway,69,MM,1566774998,90,20.15,94.92,73.52,2.95
211,Melita,35,CA,1566775000,83,49.27,-100.98,72.0,4.0
212,Ambilobe,0,MG,1566775001,74,-13.19,49.05,65.6,6.04
213,Kattivakkam,75,IN,1566775003,79,13.22,80.32,84.2,8.05
214,Samfya,56,ZM,1566775004,66,-11.37,29.56,60.38,4.43
215,Marawi,100,PH,1566775005,94,8.0,124.29,75.0,5.99
216,Haines Junction,70,CA,1566775007,49,60.75,-137.51,53.18,8.79
217,Kununurra,0,AU,1566775008,77,-15.77,128.74,62.6,2.24
218,Mayo,40,CA,1566775010,31,63.59,-135.9,60.8,8.05
219,Brae,100,GB,1566775011,68,60.4,-1.35,64.4,25.28
220,Grand Gaube,40,MU,1566774724,73,-20.01,57.66,69.8,11.41
221,Zhuhai,40,CN,1566775014,72,40.71,112.04,64.4,2.24
222,Mozhga,58,RU,1566775018,93,56.44,52.22,47.24,11.34
223,Kruisfontein,52,ZA,1566775019,89,-34.0,24.73,55.7,9.55
224,Caravelas,33,BR,1566775021,84,-17.73,-39.27,71.0,5.12
225,Paamiut,0,GL,1566775022,78,61.99,-49.67,42.56,28.48
226,Waddan,0,LY,1566775024,61,29.16,16.14,74.96,8.81
227,Saskylakh,83,RU,1566775025,81,71.97,114.09,54.8,4.97
228,Puerto Escondido,40,MX,1566775026,79,15.86,-97.07,86.0,6.93
229,Talnakh,40,RU,1566775028,93,69.49,88.39,53.6,6.71
230,Tocopilla,15,CL,1566775029,89,-22.09,-70.2,56.96,9.75
231,Bathsheba,75,BB,1566774983,74,13.22,-59.52,84.2,16.11
232,Kyzyl-Suu,0,KG,1566775032,50,42.34,78.0,64.34,5.12
233,Bambous Virieux,40,MU,1566775033,73,-20.34,57.76,69.8,11.41
234,Sioux Lookout,75,CA,1566775034,49,50.1,-91.92,71.6,12.75
235,Dhidhdhoo,100,MV,1566775036,77,6.88,73.1,81.98,14.97
236,Meulaboh,100,ID,1566775038,77,4.14,96.13,80.18,6.89
237,Cherbourg,1,AU,1566775039,76,-26.29,151.95,68.0,4.14
238,Balakhta,9,RU,1566775041,97,55.38,91.62,49.4,1.86
239,Ormara,98,PK,1566775042,78,25.21,64.64,80.0,3.94
240,Port Hardy,20,CA,1566775043,63,50.7,-127.42,64.4,17.22
241,Sinjai,55,ID,1566775045,70,-5.12,120.25,73.34,3.58
242,Lamu,99,CN,1566775046,93,35.77,102.37,55.34,5.79
243,Kyrylivka,0,UA,1566775047,52,47.65,37.3,66.32,11.03
244,Rasht,40,IR,1566774752,94,37.28,49.58,73.4,4.12
245,Nome,40,US,1566775050,83,30.04,-94.42,82.0,4.7
246,Tilichiki,100,RU,1566775052,84,60.47,166.1,50.3,16.04
247,Leningradskiy,79,RU,1566775053,78,69.38,178.42,47.96,9.33
248,At-Bashi,0,KG,1566775054,47,41.17,75.81,48.32,5.93
249,Alta Floresta,66,BR,1566775055,44,-9.87,-56.08,81.98,1.83
250,Arraial do Cabo,100,BR,1566775057,69,-22.97,-42.02,68.12,7.0
251,Klaksvik,100,FO,1566775058,100,62.23,-6.59,51.8,14.99
252,Dukat,1,AL,1566775059,50,40.25,19.57,80.01,1.01
253,Pangnirtung,69,CA,1566775060,62,66.15,-65.72,44.9,3.91
254,Panguna,67,PG,1566775062,73,-6.32,155.48,81.08,2.53
255,Dekar,0,BW,1566775063,27,-21.53,21.93,50.48,4.14
256,Alofi,99,NU,1566774863,78,-19.06,-169.92,73.4,16.11
257,Shatrovo,0,BG,1566775066,68,42.29,22.98,66.2,6.93
258,Olutanga,38,PH,1566775067,75,7.31,122.85,81.08,2.51
259,Hofn,100,IS,1566775068,99,64.25,-15.21,40.4,9.08
260,Nyurba,16,RU,1566775070,62,63.29,118.35,60.74,2.42
261,Provideniya,75,RU,1566775071,87,64.42,-173.23,51.8,6.71
262,Mahebourg,40,MU,1566775004,73,-20.41,57.7,69.8,11.41
263,Clyde River,1,CA,1566775048,81,70.47,-68.59,44.6,13.87
264,Ribeira Grande,89,PT,1566774990,87,38.52,-28.7,70.64,12.03
265,Buchanan,75,LR,1566775076,94,5.88,-10.05,77.0,11.41
266,Faya,0,SA,1566775077,52,18.39,42.45,68.0,1.05
267,Srednekolymsk,28,RU,1566775079,47,67.46,153.71,62.18,9.37
268,Northam,0,AU,1566775080,76,-31.65,116.67,48.2,6.93
269,Hirara,20,JP,1566775082,88,24.8,125.28,82.4,8.05
270,Honningsvag,99,NO,1566775083,91,70.98,25.97,48.14,2.19
271,Araouane,100,ML,1566775084,51,18.9,-3.53,87.74,11.32
272,Noumea,71,NC,1566775034,53,-22.28,166.46,73.4,4.7
273,Nizhnevartovsk,90,RU,1566775031,100,60.93,76.58,44.6,0.69
274,Taltal,0,CL,1566775088,56,-25.41,-70.49,59.12,2.93
275,Kodiak,90,US,1566774983,93,39.95,-94.76,68.0,12.75
276,Listvyanskiy,5,RU,1566775091,83,54.44,83.49,52.28,5.19
277,Vieques,20,PR,1566775092,66,18.43,-65.83,86.0,12.75
278,Partizanskoye,27,RU,1566775093,59,53.35,78.35,57.86,8.5
279,Durban,82,CA,1566775095,80,51.93,-101.44,67.94,5.84
280,Hollins,90,US,1566775096,53,37.35,-79.95,73.4,9.17
281,Talmenka,0,RU,1566775097,62,53.82,83.56,57.2,4.47
282,Jasper,75,US,1566775099,100,33.83,-87.28,77.0,3.38
283,Touros,0,BR,1566775100,83,-5.2,-35.46,77.0,6.93
284,Zeya,2,RU,1566775101,61,53.74,127.27,67.22,2.98
285,Cortez,1,US,1566775103,14,37.35,-108.58,91.4,8.05
286,Vao,53,EE,1566775104,67,59.1,26.19,56.24,7.72
287,Lusaka,0,ZM,1566775105,72,-15.42,28.28,59.0,3.36
288,Bowen,30,AU,1566775106,88,-20.01,148.25,75.0,3.36
289,Makakilo City,40,US,1566775108,46,21.35,-158.09,89.6,9.17
290,Paulo Afonso,35,BR,1566775109,85,-9.4,-38.23,66.5,10.65
291,Damaturu,37,NG,1566775110,79,11.75,11.96,74.06,7.18
292,Fortuna,20,ES,1566775112,78,38.18,-1.13,78.8,5.82
293,Nador,75,MA,1566775113,83,35.17,-2.93,77.0,6.93
294,Yabrud,0,SY,1566775115,68,33.97,36.66,71.6,8.05
295,Tarakan,75,ID,1566775116,94,3.3,117.63,75.2,6.93
296,Campo Grande,0,BR,1566775117,30,-20.46,-54.62,80.6,6.93
297,Laguna,40,BZ,1566775118,74,16.17,-88.94,87.8,6.93
298,Teeli,8,RU,1566775120,64,51.01,90.2,46.88,1.66
299,Fare,0,PF,1566775121,66,-16.7,-151.02,78.2,5.97
300,Rawson,67,AR,1566775026,50,-43.3,-65.11,50.3,16.71
301,Riviere-du-Loup,0,CA,1566775124,57,47.83,-69.53,56.96,2.42
302,Rincon,75,PA,1566775125,94,8.46,-82.28,75.2,2.24
303,Bagula,12,IN,1566775127,93,23.33,88.64,78.02,9.64
304,ChengDe,71,CN,1566775128,71,40.97,117.93,67.4,2.48
305,Praia da Vitoria,75,PT,1566775129,77,38.73,-27.07,69.8,12.77
306,Ancud,90,CL,1566775131,93,-41.87,-73.83,46.4,11.41
307,Boa Vista,40,BR,1566775132,43,2.82,-60.67,91.4,8.05
308,Peniche,40,PT,1566775134,100,39.36,-9.38,64.99,1.12
309,Mana,89,NG,1566775135,89,13.03,5.27,74.06,5.23
310,Udachnyy,0,RU,1566775136,58,66.42,112.4,55.4,4.47
311,Pangody,100,RU,1566775138,91,65.85,74.49,40.58,14.05
312,Qeshm,0,IR,1566775139,74,26.96,56.27,89.6,6.93
313,Filingue,43,NE,1566775141,72,14.35,3.32,80.18,6.71
314,Gagnoa,95,CI,1566775142,98,6.13,-5.95,70.46,4.79
315,Saint-Francois,0,FR,1566775144,68,46.42,3.91,66.2,3.18
316,Deputatskiy,73,RU,1566775024,82,69.3,139.9,49.94,4.81
317,Terney,43,RU,1566775146,73,45.05,136.61,65.06,0.6
318,Chama,22,ZM,1566775147,66,-11.22,33.16,65.78,1.34
319,Henties Bay,0,NA,1566775149,76,-22.12,14.28,63.0,12.28
320,Batsfjord,75,NO,1566775150,100,70.63,29.72,48.2,11.41
321,Aksarka,42,RU,1566775152,75,66.56,67.8,39.68,3.13
322,Nouakchott,40,MR,1566775153,78,18.08,-15.98,80.6,11.41
323,Benjamin Hill,24,MX,1566775154,53,30.17,-111.1,93.0,1.01
324,Puerto Ayacucho,40,CO,1566775156,62,5.66,-67.63,87.8,3.74
325,Cherskiy,100,RU,1566775157,75,68.75,161.3,60.92,8.72
326,Tototlan,75,MX,1566775158,73,20.55,-102.8,69.8,4.7
327,Belaya Gora,98,RU,1566775160,65,68.54,146.19,58.4,10.25
328,Shimoda,75,JP,1566775161,83,34.7,138.93,82.0,17.22
329,Bereznik,76,RU,1566775162,94,62.86,42.71,45.62,4.23
330,Nioro,100,GM,1566775164,86,13.79,-15.05,77.3,4.99
331,Roebourne,0,AU,1566775165,37,-20.77,117.15,69.92,1.1
332,Dauphin,20,CA,1566775167,73,51.15,-100.04,71.6,5.82
333,Chernaya Kholunitsa,25,RU,1566775168,98,58.85,51.72,43.64,7.54
334,Pascagoula,1,US,1566775169,74,30.37,-88.56,82.4,3.36
335,Toamasina,75,MG,1566775171,100,-18.17,49.38,66.2,4.7
336,Tura,100,RU,1566775172,81,64.27,100.22,55.88,4.05
337,Sinnamary,83,GF,1566775174,76,5.38,-52.96,82.7,19.84
338,Aasiaat,98,GL,1566775175,69,68.71,-52.87,36.62,6.6
339,Port Blair,100,IN,1566775176,82,11.67,92.75,80.9,26.26
340,Sheboygan,1,US,1566774974,72,43.75,-87.71,71.6,6.93
341,Lumeje,28,AO,1566775179,28,-11.56,20.78,59.66,5.82
342,Qaqortoq,0,GL,1566775181,52,60.72,-46.03,46.4,4.7
343,Rajbiraj,0,NP,1566775182,78,26.54,86.75,80.18,7.36
344,Emerald,71,AU,1566775183,77,-23.53,148.16,66.0,4.7
345,Tomatlan,46,MX,1566775185,76,19.93,-105.25,85.94,14.16
346,Yulara,0,AU,1566775186,49,-25.24,130.99,48.2,6.93
347,Goya,90,AR,1566775187,82,-29.14,-59.27,64.4,16.11
348,Coihaique,75,CL,1566775189,65,-45.58,-72.07,46.4,4.7
349,Belmonte,70,PT,1566775190,63,40.36,-7.35,68.0,1.61
350,Turayf,0,SA,1566775192,36,31.68,38.65,80.6,11.41
351,Lasa,0,CY,1566775193,60,34.92,32.53,80.6,8.05
352,Stepnyak,0,KZ,1566775194,71,52.83,70.79,58.4,7.92
353,Ratnagiri,100,IN,1566775196,79,16.98,73.3,80.72,12.44
354,Ostrovnoy,100,RU,1566775197,89,68.05,39.51,44.72,15.48
355,Port Moresby,75,PG,1566775198,78,-9.47,147.16,77.0,5.82
356,Aitape,87,PG,1566775200,62,-3.15,142.36,84.5,5.53
357,Tanete,86,ID,1566775201,72,-3.94,119.78,78.74,11.99
358,Codrington,90,AU,1566775202,82,-28.95,153.24,64.99,6.93
359,Broome,0,GB,1566775203,77,52.47,1.45,69.8,1.12
360,Gizo,0,IL,1566775205,74,31.8,34.94,80.01,5.82
361,De-Kastri,85,RU,1566775206,60,51.48,140.77,63.62,1.59
362,Kokopo,82,PG,1566775208,57,-4.34,152.27,85.22,3.29
363,Miri,98,NG,1566775209,91,10.31,9.75,69.56,1.88
364,Geraldton,20,CA,1566775210,43,49.72,-86.95,71.6,18.34
365,Viedma,69,AR,1566775212,92,-40.81,-62.99,51.2,7.94
366,Smirnykh,100,RU,1566775213,90,49.74,142.83,55.52,1.95
367,Santiago del Estero,0,AR,1566775183,50,-27.8,-64.26,69.2,4.83
368,Sao Joao da Barra,0,BR,1566775216,82,-21.64,-41.05,68.0,6.93
369,Campoverde,75,EC,1566775217,62,-0.91,-78.62,55.4,8.05
370,Acapulco,75,MX,1566775218,79,16.86,-99.88,86.0,9.17
371,Nguruka,75,TZ,1566775220,54,-5.11,31.04,67.58,4.0
372,Jizan,20,SA,1566775221,59,16.89,42.56,89.6,5.82
373,Fairbanks,20,US,1566775202,48,64.84,-147.72,63.0,4.7
